,date,username,tweet
0,2022-08-04 05:25:33+00:00,EbtNissi,Book Covid RTPCR TEST Call 91 8951038444 covidvariant COVID19 easybloodtest Bangalore Omicron healthawareness labtestnow covidvariant COVID19
1,2022-08-03 13:23:13+00:00,gaya_id,Waspadai Gejala Flu Biasa dan Flu Centaurus Simak informasi selengkapnya di Gayaid Flu FluCentaurus Kesehatan PandemiCovid19 Covid19 Omicron
2,2022-08-02 10:57:08+00:00,gaya_id,Cegah Omicron Bisa Dimulai dari Rongga Hidung Simak informasi selengkapnya di Gayaid Covid19 PandemiCovid19 Omicron NitricOxideNasalSpray CegahOmicron Kesehatan
3,2022-08-01 20:57:35+00:00,_Naturisti,3051 Japan Japan Booster Omicron Sync
4,2022-08-01 15:54:33+00:00,sunseeder,Xinjiang Cotton Taiwan China mRNA Omicron
5,2022-08-01 14:31:02+00:00,gaya_id,Vaksinasi Booster Melawan Keparahan Infeksi Omicron Simak informasi selengkapnya di Gayaid Omicron VaksinBooster VaksinCovid Vaksinasi Covid19 PandemiCovid19 Kesehatan
6,2022-08-01 04:39:07+00:00,infoppkk,Salam Sehat sobatkriskes Situasi COVID19 kembali meningkat 3x lipat dalam 1 bulan terakhir Yuk tetap disiplin protokol kesehatan dan lengkapi vaksinasi COVID19 untuk melindungi diri sendiri dan orang lain covid19 omicron pusatkrisiskesehatan
7,2022-07-30 12:11:09+00:00,pikiran_rakyat,UPDATE Covid19 di Indonesia per 30 Juli 2022 Kasus Positif Meningkat 5398 dalam Sehari update kasus jumlah pasien positif meninggal dunia sembuh pemerintah virus corona omicron delta covid19 indonesia prmn pikiranrakyat
8,2022-07-29 14:10:42+00:00,IDbelasting,Angka Kasus Covid19 Naik Lagi 6000 Kasus Baru per Hari covid19 omicron pandemic
9,2022-07-29 09:11:03+00:00,pikiran_rakyat,UPDATE Covid19 di Indonesia per 29 Juli 2022 Kasus Positif Meningkat 5831 dalam Sehari update kasus jumlah pasien positif meninggal dunia sembuh pemerintah virus corona omicron delta covid19 indonesia prmn pikiranrakyat
10,2022-07-28 15:56:49+00:00,ayungp2,Menangkal Omicron COVID19
11,2022-07-28 15:51:35+00:00,ayungp2,Waspadai gejala COVID19 varian Omicron
12,2022-07-28 09:11:35+00:00,HastoSuprayogo,Darn Varian baru lagi Kawan semua jangan lengah dan terus patuhi Prokes Centaurus kabarnya jauh lebih berbahaya dari Omicron
13,2022-07-27 08:41:08+00:00,murianewscom,Metro Yogyakarta Dinkes Temukan Kasus Varian Baru Omicron di 5 Kabupaten di DIY Selengkapnya Klik Tautan Berikut ini Yogyakarta DIY VarianOmicron Omicron
14,2022-07-26 20:22:15+00:00,wellylie99,Asean AirPollution trending WHO polusiGedungPerkantoran dkiJakarta usa PolusiApartemen iQAir IMF BI ispa kanker COVID19 OmiCron G20 DosaPLTUpln dosaBNI46 china international Sangat buruk polusi udara di jakarta saat inii
15,2022-07-26 19:20:50+00:00,wellylie99,Asean AirPollution trending WHO polusiGedungPerkantoran dkiJakarta usa PolusiApartemen iQAir IMF BI ispa kanker COVID19 OmiCron G20 DosaPLTUpln dosaBNI46 china wahh very bad air Pollution in dki jakarta indonesia
16,2022-07-26 18:36:10+00:00,wellylie99,Asean AirPollution trending WHO polusiGedungPerkantoran dkiJakarta usa PolusiApartemen iQAir IMF BI ispa kanker COVID19 OmiCron G20 DosaPLTUpln dosaBNI46 China Level Polusi udara kemayoran dki jakarta Hasil ukur mandiri Mengkuatirkan dan udara sdh beracun
17,2022-07-26 13:11:34+00:00,wellylie99,Asean AirPollution trending WHO polusiGedungPerkantoran dkiJakarta usa PolusiApartemen iQAir IMF BI ispa kanker COVID19 OmiCron G20 DosaPLTUpln dosaBNI46 PolusiNajis sebaran PM 25 uda sampai ke kemayoran dki jakarta Level PM 25 saat ini 62 uda sensor merah
18,2022-07-26 11:43:53+00:00,wellylie99,Asean AirPollution trending WHO polusiGedungPerkantoran dkiJakarta usa PolusiApartemen iQAir IMF BI ispa kanker COVID19 OmiCron G20 DosaPLTUpln dosaBNI46 PolusiNajis Pelan2 mulai ada peningkatan level PM 25 di kemayoran sunter dki jakarta Semoga tdk memburuk
19,2022-07-25 20:15:46+00:00,MGianthanafi,Kasus COVID19 Meledak Lagi Gejala Awal Omicron BukanDemam
20,2022-07-25 15:52:38+00:00,Beritabaruco,Australia Capai Rekor Jumlah Pasien Rumah Sakit Karena Varian Omicron Melonjak Australia COVID19 Omicron
21,2022-07-25 03:08:27+00:00,polisilinggau_,covid melandai jangan kendor untuk taat patuhi prokes covid covid19 corona omicron vaksin latepost
22,2022-07-24 09:53:36+00:00,pikiran_rakyat,UPDATE Covid19 di Indonesia per 24 Juli 2022 Kasus Positif Meningkat 4072 dalam Sehari update kasus jumlah pasien positif meninggal dunia sembuh pemerintah virus corona omicron delta covid19 indonesia prmn pikiranrakyat
23,2022-07-24 03:24:15+00:00,Kilat_com,Covid19 Mengganas 4943 Kasus Bertambah di Indonesia 9 Meninggal Dunia COVID19 Covid19Indonesia coronavirus Omicron pandemic
24,2022-07-22 17:36:38+00:00,HabarizaUN,Kutokana na kuendea kunyumbulika kwa virusi vya COVID19 hii leo WHO limechapisha maboresho ya mkakati wa utoaji chanjo ili kukabiliana na kuenea kwa virusi vya Omicron na kuendelea kujifunza kutokana na matokeo ya programu za utoaji chanjo duniani
25,2022-07-22 03:09:42+00:00,Lidyarahmii1,7 Cara Meredakan Gejala Omicron Flu dan Batuk Secara Alami Omicron flu batuk
26,2022-07-21 14:56:05+00:00,wisnukuncoro954,Radio Talkshow RS Siloam Yogyadengan Host Radio Smart FM Yogya…topik “Omicron BA275 Centaurus” siloamhospitals COVID19 omicron omicroncentaurus
27,2022-07-21 06:00:00+00:00,SinarOnline,Saranan itu bagi mengurangkan jangkitan gelombang ketiga Omicron yang melanda Australia ketika ini Muzik VideoSinar Jangkitan Omicron
28,2022-07-21 01:10:57+00:00,MNowNews,Kes pertama varian BA275 dikesan di Thailand MalaysiaNow News FlashNews thailand covid Omicron
29,2022-07-20 11:45:36+00:00,ISMAFARSI,Eitss tapi kamu ga perlu khawatir dan panik Tetap patuhi protokol kesehatan dengan menerapkan 5M ya Yuk simak info selengkapnya dalam microblog berikut ISMAFARSI ISMAFARSIBerjaya Covid19 Omicron
30,2022-07-20 02:06:05+00:00,Kilat_com,Waspada Menkes Prediksi Puncak Covid19 RI Terjadi Lewat dari Juli Menkes COVID19 Omicron coronavirus pandemic CovidIsNotOver
31,2022-07-20 00:30:00+00:00,matamilenialID,Ngeri Virus Baru Ini Lebih Mematikan dari Omicron Baca selengkapnya disini mataindonesia virusbaru vieuscovid covid19 omicron
32,2022-07-19 15:34:03+00:00,jpnncom,Anggota Komisi IX DPR Rahmad Handoyo meminta masyarakat mewaspadai kemunculan subvarian terbaru Covid19 Omicron BA275 Omicron
33,2022-07-19 14:30:00+00:00,newsmerahputih,Munculnya subvarian terbaru dari COVID19 Omicron yaitu BA275 di Indonesia masyarakat di imbau untuk menjaga protokol kesehatan merahputihcom omicron covid19 prokes corona
34,2022-07-19 14:07:00+00:00,Jawaban,Omicron BA275 yang merupakan varian terbaru Covid19 sudah masuk ke Indonesia Cari tahu infonya disini Omicron jawabancom Covid19 COVID19 COVID Indonesia
35,2022-07-19 06:41:17+00:00,akusehatklinik,Halo Sobat Sehat Juru Bicara Kementerian Kesehatan Kemenkes Mohammad Syahril mengonfirmasi tiga kasus mutasi SARSCoV2 Omicron dengan subvarian baru yakni BA275 ditemukan di Indonesia omicron centaurus ba275 covid19
36,2022-07-19 03:53:33+00:00,koranjakarta_id,Hatihati Omicron BA275 Sudah Masuk Indonesia Satu Kasus di Bali Dua di Jakarta Ini Kata Menkes koranjakarta nasional virus covid omicron corona jakarta bali indonesia news update
37,2022-07-18 15:51:13+00:00,portalmediaid,Kenali CiriCiri Jika Terkena Omicron BA4 dan BA5 Baca Selengkapnya BeritaTerkini media Online news BreakingNews ciriciri terkena Omicron ba4 ba5 Indonesia
38,2022-07-18 15:36:38+00:00,nusabalicom,Pemerintah Terus Dorong Vaksinasi Booster Dari Persyaratan untuk Mobilitas dan Aktivitas hingga untuk Jemaah Haji yang Baru Kembali AirlanggaHartarto VasinasiBooster Omicron Berita NusaBali
39,2022-07-18 14:53:07+00:00,beritajatimcom,Kasus Omicron Kembali Naik Vaksin Booster Semakin Gencar Surabaya – Dalam beberapa minggu terakhir terjadi kenaikan kasus konfirmasi harian di beberapa negara termasuk di Indonesia… airlanggahartarto omicron peristiwa
40,2022-07-18 14:30:05+00:00,JemberNetwork,Terbaru Kemenkes resmi laporkan 3 kasus subvarian Omicron BA275 di Indonesia Omicron Indonesia COVID19
41,2022-07-18 14:09:39+00:00,JemberNetwork,Waspada Kemenkes konfirmasi 3 kasus subvarian Omicron BA275 di Indonesia Omicron5 Omicron Indonesia
42,2022-07-18 10:47:47+00:00,chatnews_id,Kasus subvarian baru BA275 yang ditemukan di Bali merupakan imported case alias muncul akibat adanya perjalanan luar negeri Sementara di Jakarta diduga disebabkan transimisi lokal ba275 omicron
43,2022-07-18 09:03:56+00:00,gaya_id,Keringat pada Malam Hari Jadi Gejala Baru Subvarian BA5 Omicron Simak informasi selengkapnya di Gayaid Omicron PandemiCovid19 Covid19 VirusOmicron Omicron Kesehatan
44,2022-07-18 08:28:42+00:00,chatnews_id,Presiden Jokowi beserta menteri terkait membahas varian baru omicron BA275 atau Centaurus yang sudah masuk di Bali dan Jakarta ba275 Omicron COVID19
45,2022-07-18 08:21:31+00:00,lensaRTV,Menteri Kesehatan Budi Gunadi Sadikin mengatakan sudah ada tiga kasus subvarian Omicron BA275 di Indonesia Satu kasus berada di Bali dan dua kasus ada di Jakarta menkes budigunadisadikin omicron subvarianomicron ba275 omicronba275 updatecovid19
46,2022-07-18 01:17:08+00:00,akusehatklinik,Halo Sobat Sehat Pasien positif COVID19 Omicron BA4 dan BA5 atau pun penyintas COVID19 harus memperhatikan asupan makanan bernutrisi dan vitamin untuk membantu tubuh melawan infeksi Vitamin Omicron Covid19
47,2022-07-17 01:58:32+00:00,Kilat_com,Covid Makin Galak 6 Orang Meninggal dalam 24 Jam COVID19 CovidIsNotOver CoronavirusUpdates coronavirus Omicron Covid19Indonesia
48,2022-07-16 20:43:52+00:00,wellylie99,Asean AirPollution trending WHO polusiGedungPerkantoran dkiJakarta usa PolusiApartemen iQAir IMF BI ispa kanker COVID19 OmiCron G20 DosaPLTUpln dosaBNI46 PolusiNajis Kejam banget pelaku Polusi udara di dki jakarta
49,2022-07-16 17:33:36+00:00,wellylie99,Asean AirPollution trending WHO polusiGedungPerkantoran dkiJakarta usa PolusiApartemen iQAir IMF BI ispa kanker COVID19 OmiCron G20 DosaPLTUpln dosaBNI46 PolusiNajis Sprti biasa emang jem segini aktifitas bakar sampah di mulai pemda jakarta gmn nih
