Unnamed: 0,date,username,tweet,label
4,2022-01-21 22:33:07+00:00,sauditvnews_ma,Pakar imunologi Rusia Nickolay Kryuchkov mendedahkan bahawa perubahan tingkah laku gaya hidup dan pengabaian tabiat oleh kanakkanak mungkin merupakan tanda pertama jangkitan mereka dengan varian Omicron Malaysia Omicron,negative
8,2022-01-21 16:35:57+00:00,serambinews,OmicronJepangPembatasan Covid19 Jepang memperluas pembatasan Covid19 karena varian Omicron yang menyebabkan kasus melonjak ke level tertinggi baru di wilayah metropolitan,negative
9,2022-01-21 16:35:51+00:00,pakarnur,OmicronJepangPembatasan Covid19 Jepang memperluas pembatasan Covid19 karena varian Omicron yang menyebabkan kasus melonjak ke level tertinggi baru di wilayah metropolitan,negative
11,2022-01-21 15:28:14+00:00,murianewscom,METRO JATENG Ganjar Benarkan Sembilan Orang di Jateng Terpapar Omicron Selengkapnya Klik Tautan Berikut ini Semarang Gubernur Jateng Ganjar Kasus Omicron,negative
13,2022-01-21 14:31:30+00:00,rmoljateng,Wali Kota Akui Ada Satu Pasien Omicron di Pekalongan KlikRMOL,negative
14,2022-01-21 14:27:39+00:00,rmoljateng,Dua Warga Luar Semarang Positif Omicron Masih Dirawat KlikRMOL,negative
15,2022-01-21 13:38:14+00:00,rmoljateng,Empat Orang Warga Semarang Terkonfirmasi Positif Omicron KlikRMOL,negative
16,2022-01-21 13:35:02+00:00,jpnncom,Dinkes Cimahi mengonfirmasi seorang warga di wilayahnya terpapar virus Covid19 varian Omicron omicron,negative
19,2022-01-21 12:53:50+00:00,prasadja,Siap2 vitamin dan stock obat pribadi lagi sigh omicron,negative
20,2022-01-21 12:53:50+00:00,chatnews_id,Puncak penularan Covid19 varian Omicron sampai hari ke40 sehingga ada kemungkinan di Indonesia pada akhir Februari sampai awal Maret Omicron COVID19,negative
22,2022-01-21 12:27:33+00:00,ruai_tv,Omicron di Kalbar harus menjadi perhatian ekstra Satgas Perbatasan IndonesiaMalaysia Varian omicron sudah ada di Kalbar COVID19 kalimantan pontianak varianomicron omicronmasukkalbar,negative
23,2022-01-21 12:19:40+00:00,elvirobiaa,Gejala Omicron gejala Omicron,negative
24,2022-01-21 11:22:19+00:00,InewsPurwokerto,1 Orang Terpapar Omicron di Cilacap Kadinkes Bukan Warga Cilacap BeritaTerkini berita Omicron BeritaViral COVID19,negative
26,2022-01-21 11:17:50+00:00,Beritasatu,Duh 87 jemaah Umrah positif Covid19 ada yang Omicron Baca selengkapnya,negative
27,2022-01-21 11:13:24+00:00,Beritasatu,wow 9 pasien Covid19 di Jawa Tengah terkonfirmasi Omicron Baca selengkapnya,negative
29,2022-01-21 10:59:30+00:00,InewsPurwokerto,9 Orang Positif Omicron di Jawa Tengah 1 Diantarannya ada di Cilacap berita BeritaTerkini cilacap covid19 Omicron,negative
